what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1382499567513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499569259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499576648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499580362
error,log,,,"",1382499611033
error,log,,,"",1382499611034
error,log,,,"",1382499611035
error,log,,,"",1382499611036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499611108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1382499611121
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1382499616392
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1382499616399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499618452
error,log,,,"Exception occurred while saving project preferences: /com.androidapp.mytools/.settings/org.eclipse.jdt.core.prefs.",1382499619901
error,log,,,"Exception occurred while saving project preferences: /com.androidapp.mytools/.settings/org.eclipse.jdt.core.prefs.",1382499619904
error,log,,,"Exception occurred while saving project preferences: /com.androidapp.mytools/.settings/org.eclipse.jdt.core.prefs.",1382499619906
error,log,,,"Exception occurred while saving project preferences: /com.generic.notice48hrs/.settings/org.eclipse.jdt.core.prefs.",1382499619958
error,log,,,"Exception occurred while saving project preferences: /com.generic.notice48hrs/.settings/org.eclipse.jdt.core.prefs.",1382499619960
error,log,,,"Exception occurred while saving project preferences: /com.generic.notice48hrs/.settings/org.eclipse.jdt.core.prefs.",1382499619962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499620330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1382499620341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499621123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499625720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499631831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499648551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1382499648604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499652235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499668035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1382499668052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499676558
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499682560
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1382499682569
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1382499682569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499684292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499692009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499696357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499700689
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382499700796
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1382499701321
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1382499701322
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1382499701323
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1382499701324
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1382499701325
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1382499701326
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1382499701327
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1382499701327
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.0.5.v201307292155--757759,"overlay.com.android.ide.eclipse.adt.overlay",1382499701328
stopped,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1382499701328
stopped,bundle,org.eclipse.birt.report.debug.ui,3.7.1.v20110905,"org.eclipse.birt.report.debug.ui",1382499701329
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.script,3.7.1.v20110905,"org.eclipse.birt.report.designer.ui.editor.script",1382499701330
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.xml.wtp,3.7.1.v20110905,"org.eclipse.birt.report.designer.ui.editor.xml.wtp",1382499701332
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,3.7.1.v20110905,"org.eclipse.birt.chart.reportitem.ui",1382499701333
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,3.7.1.v20110905,"org.eclipse.birt.report.item.crosstab.ui",1382499701334
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,3.7.1.v20110905,"org.eclipse.birt.report.designer.ui.ide",1382499701335
stopped,bundle,org.eclipse.birt.report.designer.ui.lib.explorer,3.7.1.v20110905,"org.eclipse.birt.report.designer.ui.lib.explorer",1382499701337
stopped,bundle,org.eclipse.birt.report.designer.ui.lib,3.7.1.v20110905,"org.eclipse.birt.report.designer.ui.lib",1382499701338
stopped,bundle,org.eclipse.birt.report.designer.ui.editors.schematic,3.7.1.v20110905,"org.eclipse.birt.report.designer.ui.editors.schematic",1382499701340
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1382499701342
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1382499701343
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1382499701344
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1382499701353
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.2.v201108260345,"org.eclipse.datatools.connectivity.oda.template.ui",1382499701357
stopped,bundle,org.eclipse.datatools.connectivity.ui.templates,1.0.0.v200906020553,"org.eclipse.datatools.connectivity.ui.templates",1382499701358
stopped,bundle,org.eclipse.datatools.sdk,1.7.0.v200906161850,"org.eclipse.datatools.sdk",1382499701359
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1382499701360
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1382499701361
stopped,bundle,org.eclipse.scout.sdk.ui,3.7.1.201109150103,"org.eclipse.scout.sdk.ui",1382499701362
stopped,bundle,org.eclipse.scout.sdk,3.7.1.201109150103,"org.eclipse.scout.sdk",1382499701363
stopped,bundle,org.eclipse.scout.nls.sdk,3.7.1.201109150103,"org.eclipse.scout.nls.sdk",1382499701364
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1382499701365
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1382499701367
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.2.0.r37x201112152005,"org.eclipse.wb.rcp.SWT_AWT",1382499701368
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.2.0.r37x201112151959,"org.eclipse.wb.rcp.databinding.emf",1382499701369
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.2.0.r37x201112152012,"org.eclipse.wb.rcp.databinding.xwt",1382499701370
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1383793512264
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1383793512266
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1383793512266
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1383793512296
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1383793512297
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1383793512506
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1383793512506
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1383793512507
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1383793512535
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1383793512536
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1383793512537
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1383793513017
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1383793513018
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1383793513257
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1383793513258
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1383793513258
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1383793513324
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1383793513369
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1383793513370
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1383793513370
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1383793513371
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1383793513372
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1383793513372
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1383793513373
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1383793513374
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1383793513375
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1383793513376
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1383793513376
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1383793513377
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1383793513377
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1383793513378
